t_s,fire_red,chaos_magenta,vit_green,frost_blue,light_yellow,aether_teal,green_r0_60,sat_r0_60,green_r60_120,sat_r60_120,green_r120_200,sat_r120_200,green_r200_300,sat_r200_300,green_r300_450,sat_r300_450,green_r450_650,sat_r450_650
844.3667,0.0603289,0.001318,0.01283758,0.00991464,0.00724537,0.00188416,0.01349794,0.20197531,0.0,0.20692493,0.00532629,0.12456579,0.00604667,0.06366784,0.014585,0.0702114,0.0543224,0.11447556
844.4667,0.06543547,0.00143326,0.01428819,0.00892988,0.01320939,0.00176022,0.02255144,0.84312757,5.487e-05,0.41615452,2.316e-05,0.19901811,0.01435787,0.08888599,0.00465266,0.05082093,0.05638903,0.13911342
844.5667,0.07454813,0.00154755,0.01689815,0.00836323,0.01448399,0.00177566,0.02139918,0.61695473,0.0,0.34251536,0.0,0.11514057,0.03388504,0.17018401,0.00222885,0.10753277,0.02126714,0.06730686
844.6667,0.0712881,0.00133391,0.0215244,0.00708574,0.01004871,0.00157697,0.01646091,0.40707819,0.0,0.19276778,0.0,0.07859756,0.0,0.03176278,0.00044261,0.0484182,0.00330068,0.07657031
844.7667,0.07674817,0.00162471,0.01989824,0.00853733,0.0070515,0.0021658,0.0217284,0.34090535,0.0,0.16609965,0.0,0.09226066,0.0,0.10908897,0.0,0.07042216,0.00151158,0.06442921
844.8667,0.08444541,0.00136671,0.01914882,0.00838156,0.00724826,0.00203318,0.02139918,0.21580247,0.0,0.16406936,0.0,0.11011533,0.0,0.08359812,0.0,0.10190532,0.00202891,0.09004516
844.9667,0.08139853,0.00171393,0.01862317,0.00787809,0.00605517,0.00192853,0.02106996,0.12230453,0.0,0.09438104,0.0,0.05164189,0.0,0.03958788,0.0,0.09355372,0.00358629,0.10756704
845.0667,0.07402971,0.00129003,0.01684172,0.0086251,0.00528598,0.0019946,0.02074074,0.11473251,0.0,0.18294557,0.0,0.11497846,0.0,0.02849047,0.0,0.08287843,0.00347581,0.09535857
845.1667,0.08248119,0.00144242,0.01735388,0.00928578,0.01037664,0.00197338,0.02041152,0.1873251,0.0,0.34893547,0.0,0.16189616,0.0,0.06571896,0.0004268,0.07571766,0.00361054,0.09978552
845.2667,0.07816503,0.00170959,0.01857735,0.01504533,0.01082224,0.0020814,0.01925926,0.378107,0.0,0.30761633,0.0,0.11203742,0.0,0.03406289,0.00030034,0.05064178,0.00430031,0.09647946
845.3667,0.07313368,0.00212288,0.01792004,0.01961082,0.00834153,0.00163387,0.01777778,0.17711934,0.0,0.21285119,0.0,0.10742902,0.0,0.05470454,3.161e-05,0.03741095,0.00391231,0.09545557
845.4667,0.06241223,0.00247396,0.01805266,0.01910108,0.00841917,0.00176794,0.01893004,0.38090535,0.0,0.36029412,0.0,0.16254458,0.0,0.08457033,4.742e-05,0.04582578,0.00439462,0.08704356
845.5667,0.06484713,0.0039347,0.01635031,0.01436053,0.00685812,0.00157793,0.0217284,0.52082305,0.0,0.36078797,0.0,0.17150665,0.0,0.12010339,0.0,0.05048898,0.00289921,0.09280695
845.6667,0.06287423,0.00495419,0.01516493,0.01268374,0.00546345,0.00148679,0.0217284,0.50304527,0.0,0.22464881,0.0,0.2546663,0.0,0.13008631,1.054e-05,0.05773406,0.00123674,0.10832417
845.7667,0.06737751,0.00602431,0.01346788,0.01036073,0.00453029,0.001481,0.02485597,0.39193416,0.00021949,0.19090211,0.0,0.25712102,0.0,0.16030779,0.0,0.09474455,0.00040416,0.10925106
845.8667,0.07720534,0.00590712,0.01345052,0.00923804,0.00563802,0.00160108,0.02436214,0.3290535,0.0,0.23359306,0.0,0.29442823,0.0,0.17205729,0.00031088,0.11045715,0.00115591,0.1141172
845.9667,0.07751206,0.00580488,0.01258198,0.01125434,0.00539014,0.00187838,0.02419753,0.23851852,0.0,0.31502414,0.0,0.33124913,0.0,0.16699469,0.00051638,0.11762319,0.00126638,0.11301248
846.0667,0.07979601,0.00571615,0.01131703,0.01325039,0.00615548,0.00240644,0.02403292,0.22337449,0.0,0.41703248,0.0,0.28986615,0.0,0.21117092,0.00091156,0.15155651,0.00153583,0.10749159
846.1667,0.08473283,0.00497444,0.00994117,0.01531202,0.00502218,0.00292438,0.02452675,0.63045267,0.0,0.59196664,2.316e-05,0.33930805,0.00021341,0.2437992,0.00404671,0.12901509,0.00015897,0.14580908
846.2667,0.08834008,0.00678434,0.01130883,0.01619792,0.00584877,0.00332369,0.02699588,0.72460905,0.0,0.48507463,0.0,0.29919874,0.00144646,0.26369392,0.00310353,0.21168802,0.00052541,0.17029068
846.3667,0.08541377,0.0066686,0.01055363,0.01532022,0.00471258,0.00282215,0.00197531,0.27440329,0.0,0.18881694,0.0,0.25373998,0.00719672,0.26187992,0.00274523,0.25697635,0.00142266,0.18811433
846.4667,0.08730662,0.00820795,0.00968605,0.01179398,0.00507668,0.00143181,0.03506173,0.18748971,0.0,0.23715979,4.632e-05,0.3858089,0.00027269,0.21890117,0.00089576,0.23735931,0.00629958,0.17718842
846.5667,0.09026138,0.00609664,0.0082962,0.01263407,0.00485436,0.00143277,0.03621399,0.14288066,0.00010975,0.30179982,2.316e-05,0.33185123,0.0,0.23334203,0.00040046,0.2271319,0.00968917,0.18210845
846.6667,0.09363764,0.00780864,0.0082581,0.01034915,0.00534047,0.00177469,0.03588477,0.08576132,0.0,0.30520193,0.0,0.4190635,0.0,0.3008987,8.958e-05,0.22469755,0.01549567,0.18384096
846.7667,0.08695361,0.00818383,0.01014853,0.01170621,0.00496335,0.00190056,0.0363786,0.06452675,0.0,0.21866769,0.0,0.27608726,0.0,0.28543821,0.00193905,0.23490389,0.01691024,0.2017697
846.8667,0.09064381,0.00968557,0.0102662,0.01153019,0.0066358,0.00183594,0.03588477,0.14074074,0.0,0.3058604,0.0,0.34833959,0.00378213,0.32212131,0.00529549,0.23360768,0.0171743,0.22578785
846.9667,0.07833526,0.00980517,0.01144531,0.01238185,0.00588927,0.00272184,0.04296296,0.34337449,0.01574846,0.26443152,0.0096568,0.25934417,0.01377691,0.22827943,0.00766134,0.24374025,0.01740063,0.21547627
847.0667,0.07070409,0.00748698,0.01229311,0.01265143,0.00516975,0.00279321,0.04757202,0.56230453,0.03111282,0.36347673,0.01644204,0.19999074,0.02259793,0.23182443,0.01054357,0.25265565,0.01906579,0.20469316
847.1667,0.06139226,0.00523486,0.01343027,0.01321663,0.00504244,0.00291811,0.03753086,0.53102881,0.04137401,0.42279412,0.03084619,0.22905377,0.01547235,0.19386086,0.00952135,0.239957,0.01971245,0.188082
847.2667,0.0525217,0.00345149,0.01455247,0.01332417,0.00465471,0.00302276,0.09728395,0.49547325,0.06304873,0.29933055,0.02614515,0.20622018,0.01075358,0.18276344,0.00248704,0.19601231,0.02163897,0.17141425
847.3667,0.05186439,0.00300203,0.01341869,0.01480613,0.00490644,0.00329668,0.11539095,0.4544856,0.03281387,0.28906936,0.00831365,0.23317586,0.00139903,0.18064118,0.00067445,0.18633815,0.01863198,0.17842516
