id,canonical_name,source_library,cultural_lineage_canonical,historical_period_canonical,named_mythological_match,cultural_lineage_tags
192182,THeMIS,wikipedia,european,unknown,"Themis (greek, tier_1)","[""Military equipment of Estonia"", ""Unmanned ground combat vehicles""]"
192856,"Integrated Unmanned Ground System",wikipedia,european,unknown,"Themis (greek, tier_1)","[""Permanent Structured Cooperation projects"", ""Unmanned ground combat vehicles""]"
176834,Otomat,wikipedia,european,unknown,"Theseus (greek, tier_1)","[""Anti-ship missiles of Italy"", ""Anti-ship missiles of France"", ""OTO Melara"", ""Matra"", ""Military equipment introduced in the 1970s""]"
379,"Mjölnir",wikidata,european,unknown,"Thor (norse, tier_1)",
532,"Hammer of Thor",wikidata,unknown,modern,"Thor (norse, tier_1)",
603,"Dark Elf Particle Rifle",wikidata,unknown,unknown,"Thor (norse, tier_1)",
606,"Asgardian Cannon",wikidata,unknown,unknown,"Thor (norse, tier_1)",
175456,"Mjolnir (comics)",wikipedia,unknown,unknown,"Thor (norse, tier_1)","[""Marvel Comics magical objects"", ""Marvel Comics weapons"", ""Thor (Marvel Comics)""]"
175890,"Mark 7 nuclear bomb",wikipedia,european,unknown,"Thor (norse, tier_1)","[""Cold War aerial bombs of the United States"", ""Nuclear bombs of the United States"", ""Military equipment introduced in the 1950s""]"
174017,Naginata,wikipedia,east_asian,unknown,"Tomoe Gozen (east_asian, tier_1)","[""Japanese women in warfare"", ""Edged and bladed weapons"", ""Hewing spears"", ""Japanese sword types"", ""Polearms"", ""Polearms of Japan"", ""Samurai polearms"", ""Sport in Japan""]"
209,Failnaught,wikidata,unknown,unknown,"Tristan (european_medieval, tier_1)",
175173,Curtana,wikipedia,european,unknown,"Tristan (european_medieval, tier_1)","[""Formal insignia"", ""Matter of France"", ""Medieval European swords"", ""Mythological swords"", ""Regalia"", ""Crown Jewels of the United Kingdom"", ""Individual weapons""]"
174117,Sten,wikipedia,east_asian,unknown,"Turpin (european_medieval, tier_1)","[""9mm Parabellum submachine guns"", ""Insurgency weapons"", ""Silenced firearms"", ""Simple blowback firearms"", ""Submachine guns of the United Kingdom"", ""Weapons and ammunition introduced in 1941"", ""World War II infantry weapons of Australia"", ""World War II infantry weapons of China"", ""World War II infantry weapons of the United Kingdom"", ""World War II submachine guns""]"
1676,"Tutankhamun's meteoric iron dagger blade",wikidata,unknown,medieval,"Tutankhamun (egyptian, tier_2)",
191035,"Varunastra (torpedo)",wikipedia,south_asian,unknown,"Varuna (vedic_hindu, tier_1)","[""Post\u2013Cold War weapons of India"", ""Indian Navy"", ""Torpedoes of India"", ""Military equipment introduced in the 2010s""]"
204314,Print,royal_armouries,unknown,unknown,"Walter Raleigh (european_medieval, tier_2)","[""place:Britain""]"
210888,"Wooden head",royal_armouries,unknown,unknown,"William the Conqueror (european_medieval, tier_2)","[""place:Britain/Europe""]"
3224,"Hakusan Yoshimitsu",wikidata,east_asian,unknown,"Yoshimitsu (east_asian, tier_2)",
