t_s,hp_cur,hp_max,hp_frac
685.0333,20005,20005,1.000000
685.0500,20005,20005,1.000000
685.0667,20005,20005,1.000000
685.0833,20005,20005,1.000000
685.1000,20005,20005,1.000000
685.1167,20005,20005,1.000000
685.1333,20005,20005,1.000000
685.1500,20005,20005,1.000000
685.1667,20005,20005,1.000000
685.1833,20005,20005,1.000000
685.2000,20005,20005,1.000000
685.2167,20005,20005,1.000000
685.2333,20005,20005,1.000000
685.2500,20005,20005,1.000000
685.2667,20005,20005,1.000000
685.2833,20005,20005,1.000000
685.3000,20005,20005,1.000000
685.3167,20005,20005,1.000000
685.3333,20005,20005,1.000000
685.3500,20005,20005,1.000000
685.3667,20005,20005,1.000000
685.3833,20005,20005,1.000000
685.4000,20005,20005,1.000000
685.4167,20005,20005,1.000000
685.4333,20005,20005,1.000000
685.4500,20005,20005,1.000000
685.4667,20005,20005,1.000000
685.4833,20005,20005,1.000000
685.5000,20005,20005,1.000000
685.5167,20005,20005,1.000000
685.5333,20005,20005,1.000000
685.5500,20005,20005,1.000000
685.5667,20005,20005,1.000000
685.5833,20005,20005,1.000000
685.6000,20005,20005,1.000000
685.6167,20005,20005,1.000000
685.6333,20005,20005,1.000000
685.6500,20005,20005,1.000000
685.6667,20005,20005,1.000000
685.6833,20005,20005,1.000000
685.7000,20005,20005,1.000000
685.7167,20005,20005,1.000000
685.7333,20005,20005,1.000000
685.7500,20005,20005,1.000000
685.7667,20005,20005,1.000000
685.7833,20005,20005,1.000000
685.8000,20005,20005,1.000000
685.8167,20005,20005,1.000000
685.8333,20005,20005,1.000000
685.8500,20005,20005,1.000000
685.8667,20005,20005,1.000000
685.8833,20005,20005,1.000000
685.9000,20005,20005,1.000000
685.9167,20005,20005,1.000000
685.9333,20005,20005,1.000000
685.9500,20005,20005,1.000000
685.9667,20005,20005,1.000000
685.9833,20005,20005,1.000000
686.0000,20005,20005,1.000000
686.0167,20005,20005,1.000000
686.0333,20005,20005,1.000000
686.0500,20005,20005,1.000000
686.0667,20005,20005,1.000000
686.0833,20005,20005,1.000000
686.1000,20005,20005,1.000000
686.1167,20005,20005,1.000000
686.1333,20005,20005,1.000000
686.1500,20005,20005,1.000000
686.1667,20005,20005,1.000000
686.1833,20005,20005,1.000000
686.2000,20005,20005,1.000000
686.2167,20005,20005,1.000000
686.2333,20005,20005,1.000000
686.2500,20005,20005,1.000000
686.2667,20005,20005,1.000000
686.2833,20005,20005,1.000000
686.3000,20005,20005,1.000000
686.3167,20005,20005,1.000000
686.3333,20005,20005,1.000000
686.3500,20005,20005,1.000000
686.3667,20005,20005,1.000000
686.3833,20005,20005,1.000000
686.4000,20005,20005,1.000000
686.4167,20005,20005,1.000000
686.4333,20005,20005,1.000000
686.4500,20005,20005,1.000000
686.4667,20005,20005,1.000000
686.4833,20005,20005,1.000000
686.5000,20005,20005,1.000000
686.5167,20005,20005,1.000000
686.5333,20005,20005,1.000000
686.5500,20005,20005,1.000000
686.5667,20005,20005,1.000000
686.5833,20005,20005,1.000000
686.6000,20005,20005,1.000000
686.6167,20005,20005,1.000000
686.6333,20005,20005,1.000000
686.6500,20005,20005,1.000000
686.6667,20005,20005,1.000000
686.6833,20005,20005,1.000000
686.7000,20005,20005,1.000000
686.7167,20005,20005,1.000000
686.7333,20005,20005,1.000000
686.7500,20005,20005,1.000000
686.7667,20005,20005,1.000000
686.7833,20005,20005,1.000000
686.8000,20005,20005,1.000000
686.8167,20005,20005,1.000000
686.8333,20005,20005,1.000000
686.8500,20005,20005,1.000000
686.8667,20005,20005,1.000000
686.8833,20005,20005,1.000000
686.9000,20005,20005,1.000000
686.9167,20005,20005,1.000000
686.9333,20005,20005,1.000000
686.9500,20005,20005,1.000000
686.9667,20005,20005,1.000000
686.9833,20005,20005,1.000000
687.0000,20005,20005,1.000000
687.0167,20005,20005,1.000000
687.0333,20005,20005,1.000000
687.0500,20005,20005,1.000000
687.0667,20005,20005,1.000000
687.0833,20005,20005,1.000000
687.1000,20005,20005,1.000000
687.1167,20005,20005,1.000000
687.1333,20005,20005,1.000000
687.1500,20005,20005,1.000000
687.1667,20005,20005,1.000000
687.1833,20005,20005,1.000000
687.2000,20005,20005,1.000000
687.2167,20005,20005,1.000000
687.2333,20005,20005,1.000000
687.2500,20005,20005,1.000000
687.2667,20005,20005,1.000000
687.2833,20005,20005,1.000000
687.3000,20005,20005,1.000000
687.3167,20005,20005,1.000000
687.3333,20005,20005,1.000000
687.3500,20005,20005,1.000000
687.3667,20005,20005,1.000000
687.3833,20005,20005,1.000000
687.4000,20005,20005,1.000000
687.4167,20005,20005,1.000000
687.4333,20005,20005,1.000000
687.4500,20005,20005,1.000000
687.4667,20005,20005,1.000000
687.4833,20005,20005,1.000000
687.5000,20005,20005,1.000000
687.5167,20005,20005,1.000000
687.5333,20005,20005,1.000000
687.5500,20005,20005,1.000000
687.5667,20005,20005,1.000000
687.5833,20005,20005,1.000000
687.6000,20005,20005,1.000000
687.6167,20005,20005,1.000000
687.6333,20005,20005,1.000000
687.6500,20005,20005,1.000000
687.6667,20005,20005,1.000000
687.6833,20005,20005,1.000000
687.7000,20005,20005,1.000000
687.7167,20005,20005,1.000000
687.7333,20005,20005,1.000000
687.7500,20005,20005,1.000000
687.7667,20005,20005,1.000000
687.7833,20005,20005,1.000000
687.8000,20005,20005,1.000000
687.8167,20005,20005,1.000000
687.8333,20005,20005,1.000000
687.8500,20005,20005,1.000000
687.8667,20005,20005,1.000000
687.8833,20005,20005,1.000000
687.9000,20005,20005,1.000000
687.9167,20005,20005,1.000000
687.9333,20005,20005,1.000000
687.9500,20005,20005,1.000000
687.9667,20005,20005,1.000000
687.9833,20005,20005,1.000000
688.0000,20005,20005,1.000000
688.0167,20005,20005,1.000000
688.0333,20005,20005,1.000000
688.0500,20005,20005,1.000000
688.0667,20005,20005,1.000000
688.0833,20005,20005,1.000000
688.1000,20005,20005,1.000000
688.1167,20005,20005,1.000000
688.1333,20005,20005,1.000000
688.1500,20005,20005,1.000000
688.1667,20005,20005,1.000000
688.1833,20005,20005,1.000000
688.2000,20005,20005,1.000000
688.2167,20005,20005,1.000000
688.2333,20005,20005,1.000000
688.2500,20005,20005,1.000000
688.2667,20005,20005,1.000000
688.2833,20005,20005,1.000000
688.3000,19922,20005,0.995851
688.3167,19924,20005,0.995951
688.3333,19926,20005,0.996051
