mask,t_sec,wave,n_green_total,n_green_player_gated,n_green_offcentre
green_mask2,755.0,155,1,1,0
green_mask2,755.5,155,1,1,0
green_mask2,756.0,155,1,1,0
green_mask2,756.5,155,3,0,3
green_mask2,757.0,155,1,1,0
green_mask2,757.5,155,2,1,1
green_mask2,758.0,155,2,1,1
green_mask2,758.5,155,3,1,2
green_mask2,759.0,155,0,0,0
green_mask2,759.5,155,1,1,0
green_mask2,760.0,155,1,1,0
green_mask2,760.5,156,1,1,0
green_mask2,761.0,156,1,1,0
green_mask2,761.5,156,1,1,0
green_mask2,762.0,156,1,1,0
green_mask2,762.5,156,1,1,0
green_mask2,763.0,156,0,0,0
green_mask2,763.5,156,1,1,0
green_mask2,764.0,156,1,1,0
green_mask2,764.5,156,1,1,0
green_mask2,765.0,156,4,1,3
green_mask2,765.5,156,1,1,0
green_mask2,766.0,156,1,1,0
green_mask2,766.5,156,1,1,0
green_mask2,767.0,156,2,1,1
green_mask2,767.5,156,2,1,1
green_mask2,768.0,156,1,1,0
green_mask2,768.5,156,1,1,0
green_mask2,769.0,156,1,1,0
green_mask2,769.5,156,1,1,0
green_mask2,770.0,156,1,1,0
green_mask2,770.5,156,1,1,0
green_mask2,771.0,156,1,1,0
green_mask2,771.5,156,1,1,0
green_mask2,772.0,156,1,1,0
green_mask2,772.5,156,1,1,0
green_mask2,773.0,156,1,1,0
green_mask2,773.5,156,1,1,0
green_mask2,774.0,156,1,1,0
green_mask2,774.5,156,1,1,0
green_mask2,775.0,156,1,1,0
green_mask2,775.5,156,1,1,0
green_mask2,776.0,156,1,1,0
green_mask2,776.5,156,1,1,0
green_mask2,777.0,156,1,1,0
green_mask2,777.5,156,1,1,0
green_mask2,778.0,156,2,1,1
green_mask2,778.5,156,1,1,0
green_mask2,779.0,156,1,1,0
green_mask2,779.5,156,1,1,0
green_mask2,780.0,156,1,1,0
green_mask2,780.5,157,1,1,0
green_mask2,781.0,157,1,1,0
green_mask2,781.5,157,1,1,0
green_mask2,782.0,157,1,1,0
green_mask2,782.5,157,1,1,0
green_mask2,783.0,157,1,0,1
green_mask2,783.5,157,0,0,0
green_mask2,784.0,157,1,1,0
green_mask2,784.5,157,1,1,0
green_mask2,785.0,157,1,1,0
green_mask2,785.5,157,1,1,0
green_mask2,786.0,157,1,1,0
green_mask2,786.5,157,1,1,0
green_mask2,787.0,157,1,1,0
green_mask2,787.5,157,1,1,0
green_mask2,788.0,157,1,1,0
green_mask2,788.5,157,2,1,1
green_mask2,789.0,157,1,1,0
green_mask2,789.5,157,1,1,0
green_mask2,790.0,157,1,1,0
green_mask2,790.5,157,3,1,2
green_mask2,791.0,157,1,1,0
green_mask2,791.5,157,1,1,0
green_mask2,792.0,157,2,2,0
green_mask2,792.5,157,1,1,0
green_mask2,793.0,157,1,1,0
green_mask2,793.5,157,1,1,0
green_mask2,794.0,157,0,0,0
green_mask2,794.5,157,1,1,0
green_mask2,795.0,157,1,1,0
green_mask2,795.5,157,1,1,0
green_mask2,796.0,157,1,1,0
green_mask2,796.5,157,1,1,0
green_mask2,797.0,157,2,1,1
green_mask2,797.5,157,1,1,0
green_mask2,798.0,157,1,1,0
green_mask2,798.5,157,1,1,0
green_mask2,799.0,157,1,1,0
green_mask2,799.5,157,1,1,0
green_mask2,800.0,158,1,1,0
green_mask2,800.5,158,1,1,0
green_mask2,801.0,158,1,1,0
green_mask2,801.5,158,1,1,0
green_mask2,802.0,158,0,0,0
green_mask2,802.5,158,1,1,0
green_mask2,803.0,158,1,1,0
green_mask2,803.5,158,1,1,0
green_mask2,804.0,158,1,1,0
green_mask2,804.5,158,1,1,0
green_mask2,805.0,158,1,1,0
green_mask2,805.5,158,1,1,0
green_mask2,806.0,158,1,1,0
green_mask2,806.5,158,3,1,2
green_mask2,807.0,158,2,1,1
green_mask2,807.5,158,1,1,0
green_mask2,808.0,158,1,1,0
green_mask2,808.5,158,1,1,0
green_mask2,809.0,158,1,1,0
green_mask2,809.5,158,2,1,1
green_mask2,810.0,158,1,1,0
green_mask2,810.5,158,1,1,0
green_mask2,811.0,158,1,1,0
green_mask2,811.5,158,1,1,0
green_mask2,812.0,158,1,1,0
green_mask2,812.5,158,1,1,0
green_mask2,813.0,159,1,1,0
green_mask2,813.5,159,3,1,2
green_mask2,814.0,159,1,1,0
green_mask2,814.5,159,1,1,0
green_mask2,815.0,159,1,1,0
green_mask2,815.5,159,1,1,0
green_mask2,816.0,159,1,1,0
green_mask2,816.5,159,1,1,0
green_mask2,817.0,159,1,1,0
green_mask2,817.5,159,1,1,0
green_mask2,818.0,159,1,1,0
green_mask2,818.5,159,1,1,0
green_mask2,819.0,159,1,1,0
green_mask2,819.5,159,1,1,0
green_mask2,820.0,159,5,1,4
green_mask2,820.5,159,4,1,3
green_mask2,821.0,159,3,1,2
green_mask2,821.5,159,4,1,3
green_mask2,822.0,159,3,1,2
green_mask2,822.5,159,4,1,3
green_mask2,823.0,159,2,1,1
green_mask2,823.5,159,2,1,1
green_mask2,824.0,159,2,1,1
green_mask2,824.5,159,1,1,0
green_mask2,825.0,159,9,2,7
green_mask2,825.5,159,4,1,3
green_mask2,826.0,159,1,1,0
green_mask2,826.5,159,1,1,0
green_mask2,827.0,159,1,1,0
green_mask2,827.5,159,1,1,0
green_mask2,828.0,159,2,1,1
green_mask2,828.5,159,4,1,3
green_mask2,829.0,159,2,0,2
green_mask2,829.5,159,0,0,0
green_mask2,830.0,159,3,1,2
green_mask2,830.5,159,1,1,0
green_mask2,831.0,159,5,1,4
green_mask2,831.5,159,4,1,3
green_mask2,832.0,159,5,1,4
green_mask2,832.5,159,7,1,6
green_mask2,833.0,159,1,1,0
green_mask2,833.5,159,2,1,1
green_mask2,834.0,159,1,1,0
green_mask2,834.5,159,1,1,0
green_mask2,835.0,159,3,1,2
green_mask2,835.5,159,1,1,0
green_mask2,836.0,159,1,1,0
green_mask2,836.5,159,2,1,1
green_mask2,837.0,159,1,1,0
green_mask2,837.5,159,1,1,0
green_mask2,838.0,159,2,1,1
green_mask2,838.5,159,6,1,5
green_mask2,839.0,160,1,1,0
green_mask2,839.5,160,1,1,0
green_mask2,840.0,160,1,1,0
green_mask2,840.5,160,1,1,0
green_mask2,841.0,160,1,1,0
green_mask2,841.5,160,1,1,0
green_mask2,842.0,160,1,1,0
green_mask2,842.5,160,0,0,0
green_mask2,843.0,160,0,0,0
green_mask2,843.5,160,0,0,0
green_mask2,844.0,160,0,0,0
green_mask2,844.5,160,1,0,1
green_mask2,845.0,160,2,1,1
green_mask2,845.5,160,3,1,2
green_mask2,846.0,160,6,1,5
green_mask2,846.5,160,3,1,2
