kit_id,median_displacement,pct_of_diameter
poe1-totem-hierophant,0.30063696800390327,6.8102598115924184
poe1-toxic-rain,0.22707843189689267,5.143955279667256
poe1-vaal-blade-vortex,0.09894241918469901,2.2413197735101487
poe1-venom-gyre,0.23990654883141277,5.434547650251688
poe1-viper-poison,0.3089870368739005,6.999411993464585
poe1-wander,0.1536784056978071,3.481241436082414
poe1-warchief,0.10006755796813621,2.2668072825486476
poe1-ward-loop,0.31110807283947606,7.04745933139248
poe1-whispering-ice,0.16550481974666859,3.749142462516288
poe1-winter-orb,0.3311924393621203,7.5024258482470545
poe1-woc-ignite,0.11174962003139864,2.531438336787232
poe1-wormblaster,0.25008277732614753,5.665067404397073
poe2-acolyte-darkness,0.3376506402178576,7.648721980871864
poe2-archmage-totems,0.12499085537251867,2.831388983236993
poe2-blood-mage,0.3375986823197288,7.647544990603931
