kit_id,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,leiden_cluster,lca_class,franchise_rollup,gateA_group
d2-wl-blood-boil,-0.432650640349891,0.2733789270987961,-0.4040296842750873,0.07063076992571024,0.0971739590070071,0.2713845558819657,-0.5596871002133516,0.6721116303582897,-0.6840244324234622,0.6405628343955906,-0.739249650925275,-0.9131793967472492,0.23454646707707164,-0.00780249834303692,67,2,Diablo,
d2-wl-echoing-strike,-0.13744009483131997,0.18826128258031355,-0.2557638280017492,0.3094220469202061,0.1727184805229844,0.3101694662687313,0.06632583704751831,0.2396736870197577,-0.3982633503106034,0.15249205832814502,-0.07221582735749434,0.0762949283849928,0.23047889308193395,0.11225867854611132,17,2,Diablo,
d2-wl-fire,-0.29527666170203226,0.3962032382520113,-0.340385398595625,0.02082592859222702,0.06441772600832493,0.2408559712677576,-0.022578293193339996,0.4413147633009766,-0.3965400460598984,0.15879210785843823,-0.29797444718136307,0.2066370056298904,0.34985106925010795,0.24235210050283992,8,2,Diablo,
d2-wl-tainted-summoner,-0.4676185618694777,0.3269459594897277,-0.126137604885375,0.3920078479373665,0.17288481700688116,0.7323186082673879,-0.9392564190592656,-1.0106812222498425,0.4398117104327865,0.5025961504262602,-0.49024830978125183,-0.44600415871792226,-0.41703447959704054,0.23900265793905234,106,2,Diablo,
d2-wl-void-rift,-0.3415267220529084,0.31211674867602096,-0.22880311422048602,0.07631946156192203,0.052183448751431764,0.34148863599457663,-0.02250155562952392,0.4261458845364114,-0.3235160354006689,0.21121027295489897,-0.15390373395633933,0.2681144692437716,0.29942612981770905,0.36420443558891,8,2,Diablo,
d2-ww-barb,0.862182775894027,-1.0861682148604261,-0.013404736062236224,0.5407436820472952,-1.0037694055790272,0.2925406903393047,-0.4776917771384924,0.08995503283465697,-0.018747682843493752,-0.49608408747798555,0.1693019134106301,0.07065647974469735,0.1462870260363579,0.24311285684995798,0,1,Diablo,WHIRLWIND
d2-ww-sin,0.9956266154543328,-1.0116466724110962,-0.08967733154514637,0.33272420942145214,-1.0835466260243614,0.061384264727522064,-0.10121765829285613,0.15227573854749338,-0.16575720758675347,-0.5964608144653826,-0.04507874019341355,-0.14259574406321499,0.40889798343965245,0.08433984673716824,0,1,Diablo,WHIRLWIND
d2-zealot,-0.20054139218230801,0.20999437457179684,0.5137971590309987,0.5195835456535643,-0.2597647109918277,0.6110948718759776,0.586350611135336,0.3270175275786415,0.8426144555163757,-0.06705437785761993,0.7718376789401998,0.030721844180462258,0.31155130363131484,-0.562789095217034,85,2,Diablo,
d3-akkhan-condemn,0.07415773196865608,-0.20873658569349277,-0.20867731636161624,0.14797952658183883,-0.1559255494405576,-0.1898788560998061,-0.2404582038419825,0.2520559336317074,0.2291633412410048,0.27180316796390586,-0.16242104090130616,-0.09874664038079374,-0.20517437091623458,-0.35153770785586747,2,1,Diablo,
d3-aov-foth,-0.1419592850902101,0.23234953300190092,-0.20197433047209082,0.11428484002603005,-0.024057109738086346,0.18096860152874453,0.050233771361088836,0.11547117059445079,-0.29027907824211546,0.15622144623601855,-0.021860152979118887,0.09879723795497,0.28148059341232073,0.2933827387553939,17,2,Diablo,
d3-arachyr-firebats,1.023125996107329,-0.544065633331861,0.2981256786164744,-0.4421477958834079,-0.43580428003519045,0.821077737623321,0.5159682781529896,0.030699159962370944,-0.4067635661262098,0.21078407598071466,-0.11048932981114336,-0.06156983385128453,-0.4174082255215536,-0.19220795256804987,88,1,Diablo,CHANNELED-BEAM
d3-call-of-the-ancients,-1.1584201774662437,-0.527401660878732,0.18614593252651776,-0.5023482239108535,-0.5754460790453154,-0.10596314856510727,0.18548918740412726,-0.05455399900549578,-0.09224381202417871,-0.6863302528220101,-0.2984026793749375,-0.4427380833175762,-0.38233928042599835,-0.675788978485936,54,1,Diablo,
d3-dashing-strike-monk,0.0946191691889615,-0.46839029694564527,0.1786387101157985,1.2555102843875146,0.6350801549600739,-1.397591446410083,0.6224170498999156,-0.3738531509513385,-0.7728391338837459,-0.04996189460004801,0.7771058930786774,0.4067661929709043,-1.26769875045424,-0.10342972142079171,36,1,Diablo,
d3-dmo-twister,0.0002904012518223567,0.39038298546660116,-0.11065731396543987,-0.1872296173413884,-0.17257501477416778,-0.03639670637224661,0.022335019856932807,0.031870341685948884,-0.3909619366390082,-0.5368535687320599,-0.953408650194854,-0.38226753308255257,-0.11867595987975643,-0.10870503104896548,49,0,Diablo,
d3-firebird,-0.3334242929019804,0.052418719210674126,-0.1961840269026424,0.3462255271319998,0.07581375368968349,0.086791494146543,0.1535826876618467,0.11596433411206056,-0.28878501127663253,0.4079733383236879,-0.17610684041142124,0.23497530319398824,0.18291483000588915,0.44736798823062407,8,2,Diablo,
