frame,t_sec,wave,hp,health_max,deficit,delta_hp
630,693.5,151,19279,20005,726,2
631,693.5167,151,19281,20005,724,2
632,693.5333,151,19283,20005,722,2
633,693.55,151,19285,20005,720,2
634,693.5667,151,19287,20005,718,2
635,693.5833,151,19289,20005,716,2
636,693.6,151,19291,20005,714,2
637,693.6167,151,19293,20005,712,2
638,693.6333,151,19296,20005,709,3
639,693.65,151,19298,20005,707,2
640,693.6667,151,19300,20005,705,2
641,693.6833,151,19302,20005,703,2
642,693.7,151,19304,20005,701,2
643,693.7167,151,19306,20005,699,2
644,693.7333,151,19308,20005,697,2
645,693.75,151,19310,20005,695,2
646,693.7667,151,19312,20005,693,2
647,693.7833,151,19314,20005,691,2
648,693.8,151,19316,20005,689,2
649,693.8167,151,19318,20005,687,2
650,693.8333,151,19321,20005,684,3
651,693.85,151,19323,20005,682,2
652,693.8667,151,19325,20005,680,2
653,693.8833,151,19327,20005,678,2
654,693.9,151,19329,20005,676,2
655,693.9167,151,19331,20005,674,2
656,693.9333,151,19333,20005,672,2
657,693.95,151,19335,20005,670,2
658,693.9667,151,19337,20005,668,2
659,693.9833,151,19339,20005,666,2
660,694.0,151,19341,20005,664,2
661,694.0167,151,18852,20005,1153,-489
662,694.0333,151,18855,20005,1150,3
663,694.05,151,18857,20005,1148,2
664,694.0667,151,18859,20005,1146,2
665,694.0833,151,18861,20005,1144,2
666,694.1,151,18863,20005,1142,2
667,694.1167,151,18865,20005,1140,2
668,694.1333,151,18867,20005,1138,2
669,694.15,151,18456,20005,1549,-411
670,694.1667,151,18458,20005,1547,2
671,694.1833,151,17196,20005,2809,-1262
672,694.2,151,16288,20005,3717,-908
673,694.2167,151,16290,20005,3715,2
674,694.2333,151,16292,20005,3713,2
675,694.25,151,16294,20005,3711,2
676,694.2667,151,16296,20005,3709,2
677,694.2833,151,16299,20005,3706,3
678,694.3,151,16301,20005,3704,2
679,694.3167,151,16303,20005,3702,2
680,694.3333,151,16305,20005,3700,2
681,694.35,151,16307,20005,3698,2
682,694.3667,151,16309,20005,3696,2
683,694.3833,151,16311,20005,3694,2
684,694.4,151,16313,20005,3692,2
685,694.4167,151,16315,20005,3690,2
686,694.4333,151,16317,20005,3688,2
687,694.45,151,16319,20005,3686,2
688,694.4667,151,16321,20005,3684,2
689,694.4833,151,16323,20005,3682,2
690,694.5,151,16325,20005,3680,2
691,694.5167,151,16328,20005,3677,3
692,694.5333,151,16330,20005,3675,2
693,694.55,151,16332,20005,3673,2
694,694.5667,151,16334,20005,3671,2
695,694.5833,151,16336,20005,3669,2
696,694.6,151,16338,20005,3667,2
697,694.6167,151,16340,20005,3665,2
698,694.6333,151,16342,20005,3663,2
699,694.65,151,16344,20005,3661,2
700,694.6667,151,16346,20005,3659,2
701,694.6833,151,16348,20005,3657,2
702,694.7,151,16350,20005,3655,2
703,694.7167,151,17167,20005,2838,817
704,694.7333,151,17169,20005,2836,2
705,694.75,151,17171,20005,2834,2
706,694.7667,151,17173,20005,2832,2
707,694.7833,151,17175,20005,2830,2
708,694.8,151,18272,20005,1733,1097
709,694.8167,151,18274,20005,1731,2
710,694.8333,151,18276,20005,1729,2
711,694.85,151,18278,20005,1727,2
712,694.8667,151,18280,20005,1725,2
713,694.8833,151,18282,20005,1723,2
714,694.9,151,19211,20005,794,929
715,694.9167,151,19214,20005,791,3
716,694.9333,151,19216,20005,789,2
717,694.95,151,19218,20005,787,2
718,694.9667,151,19220,20005,785,2
719,694.9833,151,19222,20005,783,2
720,695.0,151,20005,20005,0,783
721,695.0167,151,20005,20005,0,0
722,695.0333,151,20005,20005,0,0
723,695.05,151,20005,20005,0,0
724,695.0667,151,19506,20005,499,-499
725,695.0833,151,19508,20005,497,2
726,695.1,151,20005,20005,0,497
727,695.1167,151,20005,20005,0,0
728,695.1333,151,20005,20005,0,0
729,695.15,151,20005,20005,0,0
730,695.1667,151,20005,20005,0,0
731,695.1833,151,20005,20005,0,0
732,695.2,151,19711,20005,294,-294
733,695.2167,151,19713,20005,292,2
734,695.2333,151,19716,20005,289,3
735,695.25,151,19718,20005,287,2
736,695.2667,151,19720,20005,285,2
737,695.2833,151,19722,20005,283,2
